EURONEXT/ATC,Altice (ATC)
EURONEXT/AMEASH,Amer Sports (AMEASH)
EURONEXT/AMG,Amg (AMG)
EURONEXT/DEBL,Debenhams (DEBL)
EURONEXT/DLGM,De Longhi (DLGM)
EURONEXT/ALTR,Altri Sgps (ALTR)
EURONEXT/DPHL,Dechra Pharmaceuti (DPHL)
EURONEXT/DEFB,Deficom Group (DEFB)
EURONEXT/DECB,Deceuninck (DECB)
EURONEXT/AMLL,Amlin (AMLL)
EURONEXT/MLAMA,Andrew Macallister (MLAMA)
EURONEXT/DLTA,Delta Plus Group (DLTA)
EURONEXT/OLEE,Deoleo Sa (OLEE)
EURONEXT/APFL,Anglo Pacific Grp (APFL)
EURONEXT/ACOMO,Amsterdam Commod (ACOMO)
EURONEXT/DB1D,Deutsche Boerse (DB1D)
EURONEXT/ALANT,Antevenio (ALANT)
EURONEXT/ANTG,Antigoon Inv (ANTG)
EURONEXT/DPWD,Deutsche Post (DPWD)
EURONEXT/AAA,Ap Alternat Assets (AAA)
EURONEXT/DVT,Devoteam (DVT)
EURONEXT/DGE,Diageo (DGE)
EURONEXT/ALEHT,Diaxonhit (ALEHT)
EURONEXT/DGM,Diagnostic Medical (DGM)
EURONEXT/EHTBS,Diaxonhit Bsa (EHTBS)
EURONEXT/ALDIE,Dietswell (ALDIE)
EURONEXT/DEXB,Dexia (DEXB)
EURONEXT/DICO,Dico International (DICO)
EURONEXT/MAERAC,Ap Moeller-maers A (MAERAC)
EURONEXT/APAM,Aperam (APAM)
EURONEXT/MLDIG,Digitech (MLDIG)
EURONEXT/DXNSL,Dixons Retail Plc (DXNSL)
EURONEXT/DISL,Distri-land Cert (DISL)
EURONEXT/AQPL,Aquarius Platinum (AQPL)
EURONEXT/APR,April (APR)
EURONEXT/ALAQU,Aquila (ALAQU)
EURONEXT/MT,Arcelormittal Sa (MT)
EURONEXT/DNBO,Dnb (DNBO)
EURONEXT/DNOO,Dno International (DNOO)
EURONEXT/DOCD,Doc Data (DOCD)
EURONEXT/DNOL,Domino Printing (DNOL)
EURONEXT/DRXL,Drax Group (DRXL)
EURONEXT/DRD,Drdgold Cert Belg (DRD)
EURONEXT/DGOL,Dragon Oil (DGOL)
EURONEXT/MLEDR,Eaux De Royan (MLEDR)
EURONEXT/DUC,Duc (DUC)
EURONEXT/DNLML,Dunelm Group (DNLML)
EURONEXT/MLEAV,Eavs (MLEAV)
EURONEXT/ECASA,Eca (ECASA)
EURONEXT/ECOD,Ecodis (ECOD)
EURONEXT/ECONB,Econocom Group (ECONB)
EURONEXT/EDP,Edp (EDP)
EURONEXT/EDEN,Edenred (EDEN)
EURONEXT/FGR,Eiffage (FGR)
EURONEXT/MLEDS,Editions Du Signe (MLEDS)
EURONEXT/EDF,Edf (EDF)
EURONEXT/MNM,Arnoldo Mondadori (MNM)
EURONEXT/EEM,Elec Madagascar (EEM)
EURONEXT/AREVA,Areva (AREVA)
EURONEXT/ARG,Argan (ARG)
EURONEXT/EDPR,Edp Renovaveis (EDPR)
EURONEXT/ELEC,Elec Strasbourg (ELEC)
EURONEXT/ELUXBS,Electrolux B (ELUXBS)
EURONEXT/ELI,Elia (ELI)
EURONEXT/AHTL,Ashtead Group (AHTL)
EURONEXT/ARTO,Artois Nom (ARTO)
EURONEXT/AUB,Aubay (AUB)
EURONEXT/JXR,Archos (JXR)
EURONEXT/OSI,Ausy (OSI)
EURONEXT/ATCOBS,Atlas Copco B (ATCOBS)
EURONEXT/ASM,Asm International (ASM)
EURONEXT/ATA,Atari (ATA)
EURONEXT/ATADS,Atari Ds (ATADS)
EURONEXT/FEM,Aufeminin (FEM)
EURONEXT/EKTABS,Elekta B (EKTABS)
EURONEXT/AURS,Aures Technologies (AURS)
EURONEXT/DBT,Encres Dubuit (DBT)
EURONEXT/AUDB,Auderghem Cert (AUDB)
EURONEXT/AUGR,Augros Cosmetics (AUGR)
EURONEXT/EGPWM,Enel Green Power (EGPWM)
EURONEXT/ATO,Atos (ATO)
EURONEXT/ELEE,Endesa (ELEE)
EURONEXT/ARYNZ,Aryzta (ARYNZ)
EURONEXT/ENI,Eni (ENI)
EURONEXT/ENIM,Eni (ENIM)
EURONEXT/ENQL,Enquest (ENQL)
EURONEXT/ALTEV,Environnement Sa (ALTEV)
EURONEXT/AGLM,Autogrill (AGLM)
EURONEXT/EOSI,Eos Imaging (EOSI)
EURONEXT/ALESK,Esker (ALESK)
EURONEXT/ERA,Eramet (ERA)
EURONEXT/AVF,Avenir Finance (AVF)
EURONEXT/ESS,Esp Santo Saude (ESS)
EURONEXT/AVT,Avenir Telecom (AVT)
EURONEXT/ES,Esso (ES)
EURONEXT/TAM,Etam Developpement (TAM)
EURONEXT/ECT,Eurocastle Invest (ECT)
EURONEXT/ALGEM,Eurogerm (ALGEM)
EURONEXT/ENRCL,Eurasian Natural (ENRCL)
EURONEXT/ASHML,Ashmore Group (ASHML)
EURONEXT/AVL,Aviva (AVL)
EURONEXT/AZNL,Astrazeneca (AZNL)
EURONEXT/EDL,Euro Disney (EDL)
EURONEXT/CSNV,Axa Nv18 (CSNV)
EURONEXT/AXW,Axway Software (AXW)
EURONEXT/ERFNV,Eurofins Nv18 (ERFNV)
EURONEXT/EFI,Eurasia Fonc Inv (EFI)
EURONEXT/BABL,Babcock Intl Group (BABL)
EURONEXT/BCRA,Baccarat (BCRA)
EURONEXT/BALNZ,Baloise Holding (BALNZ)
EURONEXT/BBYL,Balfour Beatty (BBYL)
EURONEXT/BANW,Ban Rswarr 10jun15 (BANW)
EURONEXT/CRGM,Banca Carige (CRGM)
EURONEXT/ALEVA,Evadix (ALEVA)
EURONEXT/BPI,Banco Bpi (BPI)
EURONEXT/BPM,Banco Popolare (BPM)
EURONEXT/BANIF,Banif Sa (BANIF)
EURONEXT/BARNZ,Barry Callebaut N (BARNZ)
EURONEXT/EVRAL,Evraz Plc (EVRAL)
EURONEXT/EVS,Evs Broadc Equipm (EVS)
EURONEXT/EXAC,Exacompta Clairef (EXAC)
EURONEXT/SANTA,Banco Santander (SANTA)
EURONEXT/EXM,Exmar (EXM)
EURONEXT/EXIL,Exillon Energy (EXIL)
EURONEXT/BANI,Banimmo A (BANI)
EURONEXT/BNKRL,Bankers Inv Trust (BNKRL)
EURONEXT/BATEN,Batenburg Techniek (BATEN)
EURONEXT/BACFP,Bawag Cap 7 125pl (BACFP)
EURONEXT/RAM,F Rama (RAM)
EURONEXT/FAYE,Fayenc Sarreguemi (FAYE)
EURONEXT/BAYND,Bayer (BAYND)
EURONEXT/BBAL,Bba Aviation (BBAL)
EURONEXT/MLFER,Ferco Dev (MLFER)
EURONEXT/FXPOL,Ferrexpo (FXPOL)
EURONEXT/FSOR,Fiat Spa Ord Rgp (FSOR)
EURONEXT/BESI,Be Semiconductor (BESI)
EURONEXT/BEZL,Beazley Group (BEZL)
EURONEXT/FIM,Fimalac (FIM)
EURONEXT/BELI,Belier (BELI)
EURONEXT/BEKB,Bekaert (BEKB)
EURONEXT/FINM,Financiere Marjos (FINM)
EURONEXT/ODET,Financiere Odet (ODET)
EURONEXT/BELR,Belreca (BELR)
EURONEXT/BWYL,Bellway (BWYL)
EURONEXT/FNTS,Finatis (FNTS)
EURONEXT/BELU,Beluga (BELU)
EURONEXT/BVDBX,Belvedere Bsa Os (BVDBX)
EURONEXT/BEN,Beneteau (BEN)
EURONEXT/SLBEN,Benfica (SLBEN)
EURONEXT/BNS,Beni Stabili (BNS)
EURONEXT/FGPL,Firstgroup (FGPL)
EURONEXT/BBED,Beter Bed (BBED)
EURONEXT/BETL,Betfair Group (BETL)
EURONEXT/FLE,Fleury Michon (FLE)
EURONEXT/BGL,Bg Group (BGL)
EURONEXT/FPN,Fonc Paris Nord (FPN)
EURONEXT/FDPA,Fonciere De Paris (FDPA)
EURONEXT/BHMGL,Bh Macro Ltd Gbp (BHMGL)
EURONEXT/BIO,Bioalliance Pharma (BIO)
EURONEXT/BIG,Bigben Interactive (BIG)
EURONEXT/BLTL,Bhp Billiton (BLTL)
EURONEXT/EURS,Fonciere Euris (EURS)
EURONEXT/BABSL,Bluecrest Gbp (BABSL)
EURONEXT/BIM,Biomerieux (BIM)
EURONEXT/BMWD,Bmw (BMWD)
EURONEXT/BRWML,Blackrock World Mi (BRWML)
EURONEXT/BNP,Bnp Paribas Act A (BNP)
EURONEXT/FOU,Fountain (FOU)
EURONEXT/FRED,Fresenius Se (FRED)
EURONEXT/MLFRC,France Chauffage (MLFRC)
EURONEXT/ALFRE,Freelance Com (ALFRE)
EURONEXT/FOY,Foyer (FOY)
EURONEXT/FREY,Frey (FREY)
EURONEXT/MLKIN,Fudakin (MLKIN)
EURONEXT/FBEL,Fromageries Bel (FBEL)
EURONEXT/BOYL,Bodycote (BOYL)
EURONEXT/GFRDL,Galliford Try (GFRDL)
EURONEXT/GALP,Galp Energia-nom (GALP)
EURONEXT/BAB,Boeing Cert (BAB)
EURONEXT/MLBOK,Bok Holdings (MLBOK)
EURONEXT/BOLNV,Bollore Nv (BOLNV)
EURONEXT/BOL,Bollore (BOL)
EURONEXT/BI,Gascogne (BI)
EURONEXT/BON,Bonduelle (BON)
EURONEXT/BOKL,Booker Group (BOKL)
EURONEXT/BSD,Bourse Direct (BSD)
EURONEXT/BRS,Boursorama (BRS)
EURONEXT/ALGAU,Gaussin (ALGAU)
EURONEXT/G1AD,Gea Group (G1AD)
EURONEXT/GEA,Gea Grenobl Elect (GEA)
EURONEXT/BGHL,Boussard Gavaudan (BGHL)
EURONEXT/BOKA,Boskalis Westmin (BOKA)
EURONEXT/GTO,Gemalto (GTO)
EURONEXT/GNE,General Electric (GNE)
EURONEXT/BNB,Bque Nat Belgique (BNB)
EURONEXT/GDS,Ramsay Gen Sante (GDS)
EURONEXT/BGHS,Boussard Ghl Gbp (BGHS)
EURONEXT/GSSL,Genesis Emerg Mkts (GSSL)
EURONEXT/BPL,Bp (BPL)
EURONEXT/BQRE,Bque De La Reunion (BQRE)
EURONEXT/BRWL,Brewin Dolphin Hld (BRWL)
EURONEXT/ALBRI,Bricorama (ALBRI)
EURONEXT/GNSL,Genus (GNSL)
EURONEXT/GFI,Gfi Informatique (GFI)
EURONEXT/ALGEV,Gevelot (ALGEV)
EURONEXT/GEOM,Geox (GEOM)
EURONEXT/BAM,Brookfield Cert A (BAM)
EURONEXT/BVICL,Britvic (BVICL)
EURONEXT/BRNL,Brunel Internat (BRNL)
EURONEXT/BWNGL,Brown (n) Group (BWNGL)
EURONEXT/ALBUD,Budget Telecom (ALBUD)
EURONEXT/GIMB,Gimv (GIMB)
EURONEXT/BSB,Bsb (BSB)
EURONEXT/BRBYL,Burberry Group (BRBYL)
EURONEXT/GKNL,Gkn (GKNL)
EURONEXT/GL9I,Glanbia (GL9I)
EURONEXT/GLINT,Glintt (GLINT)
EURONEXT/BND,Business Et Decis (BND)
EURONEXT/ALGBE,Global Bioenergies (ALGBE)
EURONEXT/ALGEP,Global Ecopower (ALGEP)
EURONEXT/GNC,Gn Store Nord Ltd (GNC)
EURONEXT/GOGLO,Golden Ocean Group (GOGLO)
EURONEXT/BZUM,Buzzi Unicem (BZUM)
EURONEXT/GRVO,Graines Voltz (GRVO)
EURONEXT/GN5I,Grafton Group Unit (GN5I)
